Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,
1,Advice and benefits,,2013-04-03,2013-04-03,,Function,,,
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,
3,Benefits,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,
4,Community support,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,
5,Grants and aid,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,
6,Business and employment,,2013-04-03,2013-04-03,,Function,,,
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,
8,Business grants,,2013-04-03,2013-04-03,,Function,6,Business and employment,
9,Business rates,,2013-04-03,2013-04-03,,Function,6,Business and employment,
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,
11,Commercial property,,2013-04-03,2013-04-03,,Function,6,Business and employment,
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,
14,Tenders and contracts,,2013-04-03,2013-04-03,,Function,6,Business and employment,
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,
16,Community safety,,2013-04-03,2013-04-03,,Function,,,
17,Criminal justice,,2013-04-03,2013-04-03,,Function,16,Community safety,
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,
20,Police services,,2013-04-03,2013-04-03,,Function,16,Community safety,
22,Youth offending,,2013-04-03,2013-04-03,,Function,16,Community safety,
23,Education and learning,,2013-04-03,2013-04-03,,Function,,,
24,Adult education and lifelong learning,,2013-04-03,2013-04-03,,Function,23,Education and learning,
25,Early years and childcare,,2013-04-03,2013-04-03,,Function,23,Education and learning,
26,Educational support,,2013-04-03,2013-04-03,,Function,23,Education and learning,
27,Higher education,,2013-04-03,2013-04-03,,Function,23,Education and learning,
28,Schools,,2013-04-03,2013-04-03,,Function,23,Education and learning,
29,Special education needs,,2013-04-03,2013-04-03,,Function,23,Education and learning,
30,Environmental protection,,2013-04-03,2013-04-03,,Function,,,
31,Animal welfare,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
32,Conservation and sustainability,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
33,Countryside and farming,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
34,Environmental health,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
35,Funerals and cremations,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
36,Parks and open spaces,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
37,Pollution control,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
39,Recycling,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
40,Street care and cleaning,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
41,Utilites,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
38,Waste management,,2013-04-03,2013-04-03,,Function,30,Environmental protection,
42,"Government, citizens and rights",,2013-04-03,2013-04-03,,Function,,,
43,Accessing and updating personal information,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
44,Asylum and immigration,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
45,Commercial activities,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
46,Communications and publicity,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
47,Complaints and compliments,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
48,Consultations,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
49,Data protection and freedom of information,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
50,Democracy,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
51,Equality and diversity,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
52,Municipal operation,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
53,Policy and performance,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
54,Registration,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
55,Statistics and census information,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
56,Taxation,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
57,Volunteering and voluntary organisations,,2013-04-03,2013-04-03,,Function,42,"Government, citizens and rights",
58,Health and social care,,2013-04-03,2013-04-03,,Function,,,
59,Adult services,,2013-04-03,2013-04-03,,Function,58,Health and social care,
60,"Care homes, supported and sheltered housing",,2013-04-03,2013-04-03,,Function,58,Health and social care,
61,Carers,,2013-04-03,2013-04-03,,Function,58,Health and social care,
63,Children and family care,,2013-04-03,2013-04-03,,Function,58,Health and social care,
62,Community centres and facilities,,2013-04-03,2013-04-03,,Function,58,Health and social care,
64,"Doctors, GPs and hospitals",,2013-04-03,2013-04-03,,Function,58,Health and social care,
65,Health and medical advice,,2013-04-03,2013-04-03,,Function,58,Health and social care,
66,Housing,,2013-04-03,2013-04-03,,Function,,,
67,Council and community housing,,2013-04-03,2013-04-03,,Function,66,Housing,
68,Homelessness and prevention,,2013-04-03,2013-04-03,,Function,66,Housing,
69,Housing advice,,2013-04-03,2013-04-03,,Function,66,Housing,
70,Improvements and repairs,,2013-04-03,2013-04-03,,Function,66,Housing,
71,Multiple occupancy homes,,2013-04-03,2013-04-03,,Function,66,Housing,
72,Leisure and culture,,2013-04-03,2013-04-03,,Function,,,
73,Arts and entertainment,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
74,Events and exhibitions,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
75,Leisure activities,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
76,Libraries,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
77,Local history and heritage,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
78,Museums and galleries,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
79,Religion and culture,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
80,Sports and sporting venues,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
81,Tourism,,2013-04-03,2013-04-03,,Function,72,Leisure and culture,
82,"Licences, permits and permissions",,2013-04-03,2013-04-03,,Function,,,
83,Alcohol and entertainment,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
84,Animals,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
85,Building and construction,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
86,Businesses and markets,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
89,Food,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
90,Gambling and lottery,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
88,Hazardous materials,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
87,Social care and education,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
91,Transport,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
92,Utilites,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
93,Waste and pollution,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
94,Water activities,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
95,Marine and waterway services,,2013-04-03,2013-04-03,,Function,,,
96,Coastline,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,
97,Inland waterways,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,
98,Ports and harbours,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,
99,Planning and building control,,2013-04-03,2013-04-03,,Function,,,
100,Building control,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
101,Development control,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
102,Heritage and landscape,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
103,Planning policy,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
104,Town centre management,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
105,Transport and highways,,2013-04-03,2013-04-03,,Function,,,
106,Community transport,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
107,Cycling,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
108,"Footpaths, byways and bridleways",,2013-04-03,2013-04-03,,Function,105,Transport and highways,
109,Maintenance,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
110,Parking,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
111,Public transport,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
112,Road safety,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
113,Transport schemes,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
