P1, P2, phi_zero (IPL, eV), beta (IPL, Angstrom^(-1)), C (VSS (1,1)), omega (VSS (1,1)), C (VSS (2,2)), omega (VSS (2,2)), C (VSS tot), omega (VSS tot), C (VSS deflection), omega (VSS deflection), beta(Bruno), epsilon0(Bruno, mEv), re(Bruno, Angstrom), C1 (GSS), C2 (GSS), omega1 (GSS), omega2 (GSS), alpha scattering (GSS)
N2,N2,415.7,2.573,241.4,0.274,142.5,0.231,216.1,0.235,0.82,0.0702,8.07,11.443,3.829,-8706.0,0.1834,0.2281,-0.1192,1.3629
N2,N,184.9,2.614,215.4,0.255,165.4,0.276,240.3,0.275,1.239,0.0334,6.94,8.424,3.715,-23.02,0.0008721,0.02928,-0.241,1.7826
N,N,86.0,2.68,274.3,0.357,212.9,0.335,306.8,0.328,1.495,0.0435,6.61,6.432,3.583,-118.6,78.81,-0.02576,-0.03624,1.5044
N2,O2,2316.0,2.573,199.2,0.252,128.6,0.222,192.0,0.225,0.943,0.0491,8.11,11.665,3.805,-27.78,0.09789,0.03032,-0.1306,1.3869
N,O2,905.7,3.32,125.9,0.234,95.8,0.221,139.9,0.221,1.225,0.0221,6.94,8.633,3.687,-0.005969,0.07193,0.04292,-0.1373,1.5086
N2,O,860.4,3.331,150.1,0.254,114.6,0.239,167.1,0.239,1.231,0.0258,7.25,7.677,3.651,-45.99,0.2385,0.03723,-0.1081,1.3624
N,O,348.2,3.41,146.6,0.286,112.4,0.269,163.6,0.268,1.238,0.0296,6.72,5.989,3.507,-286.0,0.2194,0.06906,-0.1148,1.5605
N2,NO,52.38,1.761,219.1,0.263,135.5,0.227,203.8,0.230,0.882,0.0588,8.08,11.635,3.821,-451.3,0.1107,0.07999,-0.1358,1.4706
O2,NO,6373.0,3.644,179.1,0.238,115.7,0.210,173.1,0.213,0.954,0.0455,8.12,11.895,3.797,-3.608,0.03551,-0.02894,-0.1606,1.4637
O,NO,2142.0,3.717,122.0,0.230,92.7,0.217,135.4,0.217,1.222,0.0221,7.26,7.862,3.641,-68.8,0.08767,0.04601,-0.1328,1.4987
N,NO,428.6,2.983,163.1,0.260,124.6,0.244,181.5,0.244,1.231,0.0277,6.94,8.578,3.706,-36.43,0.05215,0.02055,-0.1497,1.592
O2,O2,14850.0,3.964,160.6,0.224,103.9,0.198,155.6,0.201,0.949,0.0419,8.14,11.972,3.78,-0.4377,0.3273,-0.1358,-0.1458,1.4333
O,O2,4530.0,4.039,103.7,0.211,78.5,0.199,114.7,0.199,1.216,0.0202,7.26,7.978,3.621,-30.24,0.0528,0.02582,-0.1449,1.4784
NO,NO,2678.0,3.303,198.1,0.250,125.0,0.218,187.6,0.221,0.911,0.0521,8.09,11.845,3.813,-17.05,0.04316,0.004348,-0.1572,1.4888
O,O,1410.0,4.14,96.2,0.239,73.3,0.225,106.9,0.225,1.227,0.0239,6.9,5.763,3.423,-7504000.0,0.000334,0.3642,-0.2498,1.5917
Ar,Ar,0.0,0.0,112.9,0.2,85.3,0.19,124.8,0.190,1.213,0.0167,8.12,11.603,3.794,-64690.0,0.2649,0.2147,-0.1092,1.4126