,PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-01-01 00:00:00-08:00,2013-01-01 00:00:00-08:00,12,9,6,4.0,3.0,1.0,83,69,54,1026,1024,1023,16,16,14.0,32,13,35,2015-04-11 00:00:00,2.0,None,77
2013-01-02 00:00:00-08:00,2013-01-02 00:00:00-08:00,13,8,3,7.0,2.0,-1.0,85,68,50,1024,1023,1021,16,16,16.0,13,4,35,0.0,0.0,None,140
2013-01-03 00:00:00-08:00,2013-01-03 00:00:00-08:00,12,7,3,6.0,3.0,1.0,85,73,61,1025,1023,1022,16,16,14.0,13,2,14,0.0,2.0,None,126
2013-01-04 00:00:00-08:00,2013-01-04 00:00:00-08:00,13,9,4,6.0,3.0,2.0,82,68,54,1026,1024,1022,16,15,13.0,13,4,14,0.0,2.0,None,116
2013-01-05 00:00:00-08:00,2013-01-05 00:00:00-08:00,12,8,5,9.0,7.0,2.0,93,85,76,1025,1021,1018,16,14,5.0,35,5,39,1.52,7.0,Rain,151
2013-01-06 00:00:00-08:00,2013-01-06 00:00:00-08:00,11,10,8,8.0,6.0,5.0,86,77,68,1023,1021,1017,16,16,6.0,39,13,42,2015-04-11 00:00:00,7.0,Rain,358
2013-01-07 00:00:00-08:00,2013-01-07 00:00:00-08:00,14,9,5,9.0,7.0,4.0,93,83,72,1025,1023,1022,16,15,13.0,19,5,23,0.0,4.0,None,312
2013-01-08 00:00:00-08:00,2013-01-08 00:00:00-08:00,13,10,6,8.0,7.0,4.0,92,79,66,1024,1022,1021,16,14,6.0,11,4,14,0.0,2.0,None,18
2013-01-09 00:00:00-08:00,2013-01-09 00:00:00-08:00,13,9,6,9.0,6.0,2.0,89,75,61,1021,1019,1017,16,12,2.0,40,15,53,1.02,6.0,Rain,279
2013-01-10 00:00:00-08:00,2013-01-10 00:00:00-08:00,11,9,7,2.0,1.0,-1.0,70,60,50,1023,1020,1019,16,16,16.0,39,23,48,0.0,3.0,None,295
2013-01-11 00:00:00-08:00,2013-01-11 00:00:00-08:00,11,9,7,4.0,2.0,-2.0,76,63,49,1025,1023,1021,16,16,16.0,39,18,47,0.0,4.0,None,302
2013-01-12 00:00:00-08:00,2013-01-12 00:00:00-08:00,9,7,3,3.0,-1.0,-3.0,76,59,42,1025,1023,1021,16,16,16.0,21,8,24,0.0,2.0,None,24
2013-01-13 00:00:00-08:00,2013-01-13 00:00:00-08:00,10,6,2,1.0,-3.0,-9.0,65,47,28,1025,1023,1022,16,16,16.0,32,12,39,0.0,1.0,None,30
2013-01-14 00:00:00-08:00,2013-01-14 00:00:00-08:00,11,7,2,0.0,-5.0,-8.0,70,50,29,1030,1028,1024,16,16,16.0,37,13,42,0.0,1.0,None,76
2013-01-15 00:00:00-08:00,2013-01-15 00:00:00-08:00,12,7,1,3.0,0.0,-3.0,85,60,35,1032,1031,1030,16,16,16.0,21,5,27,0.0,3.0,None,353
2013-01-16 00:00:00-08:00,2013-01-16 00:00:00-08:00,11,7,2,4.0,1.0,-2.0,82,66,50,1031,1028,1025,16,15,11.0,14,3,16,0.0,0.0,None,120
2013-01-17 00:00:00-08:00,2013-01-17 00:00:00-08:00,15,9,3,6.0,2.0,-1.0,85,64,43,1025,1023,1021,16,16,14.0,14,5,19,0.0,0.0,None,138
2013-01-18 00:00:00-08:00,2013-01-18 00:00:00-08:00,17,11,4,5.0,3.0,1.0,85,62,39,1024,1022,1021,16,16,13.0,11,2,16,0.0,1.0,None,144
2013-01-19 00:00:00-08:00,2013-01-19 00:00:00-08:00,16,10,4,6.0,3.0,1.0,86,62,37,1025,1023,1021,16,16,14.0,11,1,14,0.0,2.0,None,130
2013-01-20 00:00:00-08:00,2013-01-20 00:00:00-08:00,17,11,4,7.0,3.0,0.0,82,61,39,1024,1022,1021,16,16,14.0,11,2,14,0.0,1.0,None,117
2013-01-21 00:00:00-08:00,2013-01-21 00:00:00-08:00,13,8,3,7.0,5.0,2.0,89,68,47,1022,1021,1019,16,16,16.0,13,3,16,0.0,1.0,None,79
2013-01-22 00:00:00-08:00,2013-01-22 00:00:00-08:00,14,9,5,7.0,4.0,1.0,86,69,51,1020,1018,1016,16,15,13.0,13,3,19,0.0,4.0,None,117
2013-01-23 00:00:00-08:00,2013-01-23 00:00:00-08:00,13,12,10,9.0,8.0,6.0,89,80,71,1019,1017,1015,16,11,5.0,23,6,32,2.54,7.0,Rain,23
2013-01-24 00:00:00-08:00,2013-01-24 00:00:00-08:00,13,12,10,10.0,9.0,8.0,93,85,77,1022,1021,1019,16,10,5.0,13,5,14,0.0,8.0,None,87
2013-01-25 00:00:00-08:00,2013-01-25 00:00:00-08:00,17,14,11,11.0,9.0,8.0,89,78,67,1022,1020,1018,16,12,5.0,29,9,35,0.0,5.0,None,312
2013-01-26 00:00:00-08:00,2013-01-26 00:00:00-08:00,13,12,9,10.0,7.0,4.0,96,76,55,1019,1017,1016,16,15,3.0,53,30,61,0.0,4.0,Fog,275
2013-01-27 00:00:00-08:00,2013-01-27 00:00:00-08:00,12,9,7,4.0,3.0,2.0,71,61,50,1022,1021,1019,16,16,16.0,37,20,45,2015-04-11 00:00:00,1.0,None,300
2013-01-28 00:00:00-08:00,2013-01-28 00:00:00-08:00,13,11,7,6.0,4.0,2.0,82,69,55,1026,1024,1022,16,16,16.0,35,18,42,0.0,5.0,None,301
2013-01-29 00:00:00-08:00,2013-01-29 00:00:00-08:00,13,11,7,7.0,5.0,3.0,82,71,59,1028,1027,1026,16,16,16.0,34,13,39,0.0,4.0,None,285
2013-01-30 00:00:00-08:00,2013-01-30 00:00:00-08:00,16,11,6,9.0,6.0,4.0,89,72,55,1028,1026,1025,16,16,16.0,21,5,24,0.0,1.0,None,317
2013-01-31 00:00:00-08:00,2013-01-31 00:00:00-08:00,17,11,6,8.0,6.0,3.0,89,75,61,1026,1024,1022,16,16,14.0,14,4,16,0.0,0.0,None,333
2013-02-01 00:00:00-08:00,2013-02-01 00:00:00-08:00,18,12,7,9.0,7.0,5.0,93,71,48,1024,1022,1020,16,14,6.0,21,5,24,0.0,2.0,None,172
2013-02-02 00:00:00-08:00,2013-02-02 00:00:00-08:00,13,11,8,9.0,7.0,6.0,93,83,72,1026,1025,1024,16,11,6.0,27,15,34,0.0,6.0,None,289
2013-02-03 00:00:00-08:00,2013-02-03 00:00:00-08:00,13,11,8,7.0,6.0,4.0,86,73,59,1025,1023,1021,16,16,14.0,29,17,34,0.0,2.0,None,283
2013-02-04 00:00:00-08:00,2013-02-04 00:00:00-08:00,12,9,7,8.0,7.0,6.0,93,85,77,1022,1020,1019,16,15,11.0,27,8,34,0.0,6.0,None,293
2013-02-05 00:00:00-08:00,2013-02-05 00:00:00-08:00,13,11,8,8.0,6.0,3.0,86,76,66,1021,1020,1019,16,16,16.0,39,21,47,0.0,6.0,None,274
2013-02-06 00:00:00-08:00,2013-02-06 00:00:00-08:00,13,9,4,6.0,5.0,3.0,86,69,51,1023,1022,1021,16,16,16.0,39,13,45,0.0,2.0,None,272
2013-02-07 00:00:00-08:00,2013-02-07 00:00:00-08:00,13,9,6,6.0,4.0,3.0,89,72,54,1022,1020,1016,16,15,11.0,32,13,40,3.56,6.0,Rain,222
2013-02-08 00:00:00-08:00,2013-02-08 00:00:00-08:00,11,8,5,5.0,3.0,-2.0,89,65,41,1017,1015,1014,16,16,16.0,39,14,47,2.79,4.0,Rain,291
2013-02-09 00:00:00-08:00,2013-02-09 00:00:00-08:00,13,9,5,4.0,1.0,-2.0,76,56,35,1019,1018,1016,16,16,16.0,23,10,26,0.0,0.0,None,271
2013-02-10 00:00:00-08:00,2013-02-10 00:00:00-08:00,15,9,3,6.0,2.0,-2.0,82,61,39,1021,1019,1017,16,16,16.0,24,9,29,0.0,1.0,None,263
2013-02-11 00:00:00-08:00,2013-02-11 00:00:00-08:00,17,11,5,7.0,2.0,-4.0,86,56,25,1024,1022,1019,16,16,16.0,32,7,34,0.0,1.0,None,268
2013-02-12 00:00:00-08:00,2013-02-12 00:00:00-08:00,14,10,5,7.0,5.0,2.0,89,73,57,1029,1027,1025,16,15,13.0,29,9,35,0.0,3.0,None,283
2013-02-13 00:00:00-08:00,2013-02-13 00:00:00-08:00,15,10,5,8.0,6.0,2.0,93,75,57,1028,1026,1024,16,13,5.0,32,10,35,0.0,2.0,None,299
2013-02-14 00:00:00-08:00,2013-02-14 00:00:00-08:00,20,13,6,8.0,6.0,4.0,96,68,40,1024,1023,1021,16,15,10.0,21,6,24,0.0,1.0,None,151
2013-02-15 00:00:00-08:00,2013-02-15 00:00:00-08:00,20,14,8,8.0,6.0,2.0,80,57,34,1025,1024,1023,16,16,16.0,13,2,23,0.0,0.0,None,101
2013-02-16 00:00:00-08:00,2013-02-16 00:00:00-08:00,19,14,9,9.0,8.0,6.0,86,66,45,1024,1021,1019,16,15,11.0,39,13,47,0.0,3.0,None,307
2013-02-17 00:00:00-08:00,2013-02-17 00:00:00-08:00,15,12,9,8.0,6.0,5.0,86,72,57,1019,1017,1015,16,16,16.0,35,18,39,0.0,1.0,None,278
2013-02-18 00:00:00-08:00,2013-02-18 00:00:00-08:00,11,9,7,6.0,4.0,1.0,86,71,56,1018,1016,1015,16,16,16.0,29,19,37,2015-04-11 00:00:00,6.0,Rain,259
2013-02-19 00:00:00-08:00,2013-02-19 00:00:00-08:00,9,7,5,6.0,3.0,0.0,83,72,60,1015,1011,1008,16,14,5.0,39,18,50,10.67,6.0,Rain,267
2013-02-20 00:00:00-08:00,2013-02-20 00:00:00-08:00,13,9,4,5.0,3.0,-1.0,77,62,47,1019,1015,1012,16,16,16.0,39,20,50,0.0,1.0,None,284
2013-02-21 00:00:00-08:00,2013-02-21 00:00:00-08:00,14,11,7,5.0,3.0,0.0,77,59,40,1022,1020,1018,16,16,16.0,39,16,45,0.0,1.0,None,299
2013-02-22 00:00:00-08:00,2013-02-22 00:00:00-08:00,16,10,4,6.0,4.0,2.0,83,63,42,1025,1024,1022,16,16,16.0,48,15,58,0.0,3.0,None,277
2013-02-23 00:00:00-08:00,2013-02-23 00:00:00-08:00,13,11,8,9.0,4.0,0.0,86,66,46,1025,1024,1022,16,15,6.0,45,23,53,2015-04-11 00:00:00,4.0,Rain,283
2013-02-24 00:00:00-08:00,2013-02-24 00:00:00-08:00,16,12,8,4.0,1.0,-5.0,76,52,27,1025,1024,1022,16,16,16.0,39,18,48,0.0,1.0,None,314
2013-02-25 00:00:00-08:00,2013-02-25 00:00:00-08:00,14,11,6,7.0,5.0,2.0,83,70,57,1026,1024,1023,16,16,14.0,39,14,45,0.0,2.0,None,274
2013-02-26 00:00:00-08:00,2013-02-26 00:00:00-08:00,17,11,5,5.0,3.0,-2.0,82,57,31,1024,1023,1021,16,16,16.0,39,12,45,0.0,1.0,None,270
2013-02-27 00:00:00-08:00,2013-02-27 00:00:00-08:00,18,11,4,8.0,6.0,0.0,86,64,42,1029,1026,1024,16,16,13.0,39,14,47,0.0,3.0,None,285
2013-02-28 00:00:00-08:00,2013-02-28 00:00:00-08:00,16,12,8,9.0,8.0,7.0,93,79,64,1032,1030,1029,16,16,14.0,37,16,42,0.0,4.0,Fog,274
2013-03-01 00:00:00-08:00,2013-03-01 00:00:00-08:00,22,15,8,11.0,8.0,6.0,100,75,49,1031,1028,1024,16,10,0.0,32,7,37,0.0,3.0,Fog,330
2013-03-02 00:00:00-08:00,2013-03-02 00:00:00-08:00,17,14,11,11.0,9.0,8.0,89,76,62,1024,1021,1019,16,16,16.0,27,9,34,0.0,6.0,None,307
2013-03-03 00:00:00-08:00,2013-03-03 00:00:00-08:00,15,12,9,8.0,7.0,6.0,83,73,62,1020,1019,1019,16,15,14.0,39,20,48,2015-04-11 00:00:00,7.0,None,276
2013-03-04 00:00:00-08:00,2013-03-04 00:00:00-08:00,13,11,8,6.0,5.0,4.0,86,73,59,1022,1020,1019,16,16,14.0,39,15,47,0.0,5.0,None,267
2013-03-05 00:00:00-08:00,2013-03-05 00:00:00-08:00,13,10,6,7.0,4.0,3.0,83,69,55,1019,1015,1011,16,15,6.0,53,22,69,3.56,6.0,Rain,188
2013-03-06 00:00:00-08:00,2013-03-06 00:00:00-08:00,13,10,7,9.0,5.0,3.0,77,64,51,1019,1016,1011,16,15,6.0,56,19,69,1.52,6.0,Rain,226
2013-03-07 00:00:00-08:00,2013-03-07 00:00:00-08:00,13,9,6,7.0,5.0,2.0,86,68,50,1016,1013,1012,16,15,8.0,29,11,34,2.03,7.0,Rain,296
2013-03-08 00:00:00-08:00,2013-03-08 00:00:00-08:00,13,11,8,7.0,6.0,4.0,93,78,63,1018,1014,1011,16,16,16.0,63,34,72,2015-04-11 00:00:00,6.0,None,277
2013-03-09 00:00:00-08:00,2013-03-09 00:00:00-08:00,16,12,7,7.0,6.0,4.0,83,65,46,1027,1024,1019,16,16,16.0,47,18,53,0.0,1.0,None,288
2013-03-10 00:00:00-08:00,2013-03-10 00:00:00-08:00,19,13,6,7.0,6.0,3.0,86,62,37,1028,1026,1025,16,16,16.0,37,10,42,0.0,2.0,None,290
2013-03-11 00:00:00-07:00,2013-03-11 00:00:00-07:00,18,12,6,9.0,6.0,2.0,86,65,43,1025,1023,1020,16,16,16.0,35,14,40,0.0,4.0,None,297
2013-03-12 00:00:00-07:00,2013-03-12 00:00:00-07:00,19,14,8,10.0,8.0,7.0,93,77,60,1022,1020,1019,16,13,4.0,42,16,50,0.0,4.0,Fog,302
2013-03-13 00:00:00-07:00,2013-03-13 00:00:00-07:00,24,16,7,11.0,8.0,6.0,93,69,44,1022,1020,1018,16,11,0.0,37,13,45,0.0,4.0,Fog,316
2013-03-14 00:00:00-07:00,2013-03-14 00:00:00-07:00,16,12,8,8.0,7.0,7.0,93,74,55,1022,1021,1019,16,15,8.0,42,20,52,0.0,5.0,Fog,291
2013-03-15 00:00:00-07:00,2013-03-15 00:00:00-07:00,18,13,8,9.0,8.0,6.0,93,83,72,1021,1020,1018,16,16,13.0,47,19,53,0.0,6.0,None,292
2013-03-16 00:00:00-07:00,2013-03-16 00:00:00-07:00,17,13,8,8.0,7.0,6.0,93,73,53,1020,1019,1018,16,15,10.0,56,23,64,0.0,5.0,None,275
2013-03-17 00:00:00-07:00,2013-03-17 00:00:00-07:00,17,13,9,7.0,6.0,4.0,80,66,51,1021,1020,1019,16,16,16.0,50,22,60,0.0,3.0,None,277
2013-03-18 00:00:00-07:00,2013-03-18 00:00:00-07:00,16,12,7,8.0,6.0,4.0,83,69,55,1021,1019,1017,16,16,16.0,39,11,45,0.0,5.0,None,291
2013-03-19 00:00:00-07:00,2013-03-19 00:00:00-07:00,18,13,9,9.0,5.0,-4.0,80,54,28,1021,1020,1018,16,16,14.0,34,7,37,0.51,7.0,Rain,308
2013-03-20 00:00:00-07:00,2013-03-20 00:00:00-07:00,17,13,10,12.0,9.0,7.0,93,77,60,1021,1020,1019,16,15,6.0,34,14,39,0.25,8.0,Fog-Rain,239
2013-03-21 00:00:00-07:00,2013-03-21 00:00:00-07:00,15,11,7,7.0,5.0,3.0,83,65,47,1021,1020,1017,16,16,16.0,40,19,47,0.0,1.0,None,276
2013-03-22 00:00:00-07:00,2013-03-22 00:00:00-07:00,17,12,6,6.0,3.0,-4.0,86,56,26,1020,1019,1018,16,16,14.0,39,17,47,0.0,0.0,None,288
2013-03-23 00:00:00-07:00,2013-03-23 00:00:00-07:00,18,12,6,6.0,4.0,-3.0,86,56,25,1021,1019,1018,16,16,13.0,39,14,45,0.0,2.0,None,284
2013-03-24 00:00:00-07:00,2013-03-24 00:00:00-07:00,16,12,7,7.0,6.0,4.0,83,69,55,1020,1018,1016,16,16,14.0,42,16,48,0.0,2.0,None,288
2013-03-25 00:00:00-07:00,2013-03-25 00:00:00-07:00,13,11,8,6.0,5.0,4.0,86,73,59,1017,1016,1015,16,16,16.0,40,20,47,0.0,6.0,None,270
2013-03-26 00:00:00-07:00,2013-03-26 00:00:00-07:00,16,13,9,7.0,6.0,5.0,80,66,51,1017,1016,1014,16,16,16.0,37,19,45,0.0,6.0,Rain,280
2013-03-27 00:00:00-07:00,2013-03-27 00:00:00-07:00,18,14,10,11.0,8.0,6.0,86,75,63,1017,1015,1015,16,16,16.0,26,11,35,0.0,7.0,None,183
2013-03-28 00:00:00-07:00,2013-03-28 00:00:00-07:00,19,16,12,11.0,11.0,10.0,89,74,58,1019,1017,1016,16,16,16.0,29,13,34,2015-04-11 00:00:00,6.0,None,256
2013-03-29 00:00:00-07:00,2013-03-29 00:00:00-07:00,23,17,10,12.0,9.0,8.0,89,69,49,1019,1018,1017,16,15,8.0,39,12,47,2015-04-11 00:00:00,6.0,None,304
2013-03-30 00:00:00-07:00,2013-03-30 00:00:00-07:00,18,14,11,11.0,10.0,9.0,89,75,60,1019,1017,1015,16,16,16.0,34,11,39,2.03,6.0,Rain,261
2013-03-31 00:00:00-07:00,2013-03-31 00:00:00-07:00,18,16,12,12.0,11.0,9.0,86,75,64,1018,1017,1016,16,16,13.0,39,13,48,2.54,6.0,Rain,166
2013-04-01 00:00:00-07:00,2013-04-01 00:00:00-07:00,18,15,11,12.0,10.0,8.0,89,73,56,1022,1020,1018,16,14,3.0,32,12,35,3.56,5.0,Rain,227
2013-04-02 00:00:00-07:00,2013-04-02 00:00:00-07:00,16,13,10,10.0,9.0,8.0,89,78,67,1023,1021,1020,16,16,13.0,40,22,48,0.0,5.0,Fog,283
2013-04-03 00:00:00-07:00,2013-04-03 00:00:00-07:00,20,15,9,11.0,8.0,8.0,93,75,56,1021,1019,1016,16,15,8.0,39,13,45,0.0,6.0,Fog,296
2013-04-04 00:00:00-07:00,2013-04-04 00:00:00-07:00,18,15,12,12.0,11.0,7.0,93,82,71,1021,1018,1016,16,15,6.0,35,16,45,7.87,8.0,Rain,197
2013-04-05 00:00:00-07:00,2013-04-05 00:00:00-07:00,18,15,12,11.0,10.0,8.0,86,71,56,1023,1021,1020,16,16,14.0,32,12,39,2015-04-11 00:00:00,7.0,None,258
2013-04-06 00:00:00-07:00,2013-04-06 00:00:00-07:00,17,14,12,12.0,10.0,8.0,89,78,67,1023,1022,1021,16,14,2.0,27,13,34,0.25,7.0,Fog-Rain,232
2013-04-07 00:00:00-07:00,2013-04-07 00:00:00-07:00,17,13,10,11.0,9.0,7.0,89,77,64,1022,1019,1012,16,15,5.0,61,19,90,0.25,7.0,Rain,249
2013-04-08 00:00:00-07:00,2013-04-08 00:00:00-07:00,17,13,9,9.0,4.0,1.0,71,55,39,1017,1014,1010,16,16,16.0,76,39,97,0.0,3.0,None,287
2013-04-09 00:00:00-07:00,2013-04-09 00:00:00-07:00,20,15,10,7.0,4.0,-1.0,74,53,31,1019,1018,1017,16,16,16.0,45,28,52,0.0,0.0,None,300
2013-04-10 00:00:00-07:00,2013-04-10 00:00:00-07:00,27,19,11,11.0,8.0,6.0,89,61,32,1022,1020,1018,16,16,16.0,63,26,72,0.0,2.0,None,278
2013-04-11 00:00:00-07:00,2013-04-11 00:00:00-07:00,18,14,9,8.0,7.0,6.0,86,65,44,1019,1015,1012,16,15,13.0,58,32,66,0.0,3.0,None,269
2013-04-12 00:00:00-07:00,2013-04-12 00:00:00-07:00,17,13,8,9.0,7.0,6.0,86,71,55,1014,1012,1011,16,15,11.0,48,23,56,0.0,2.0,None,281
2013-04-13 00:00:00-07:00,2013-04-13 00:00:00-07:00,16,13,9,7.0,6.0,4.0,74,61,47,1013,1012,1011,16,16,13.0,71,31,82,0.0,3.0,None,268
2013-04-14 00:00:00-07:00,2013-04-14 00:00:00-07:00,16,12,8,8.0,4.0,1.0,86,62,37,1014,1013,1012,16,16,16.0,63,32,74,0.0,2.0,None,268
2013-04-15 00:00:00-07:00,2013-04-15 00:00:00-07:00,14,11,8,8.0,3.0,1.0,83,65,47,1015,1013,1012,16,16,14.0,74,40,89,2015-04-11 00:00:00,2.0,Rain,281
2013-04-16 00:00:00-07:00,2013-04-16 00:00:00-07:00,17,12,7,5.0,2.0,-1.0,71,52,32,1022,1019,1015,16,16,16.0,47,23,53,0.0,1.0,None,278
2013-04-17 00:00:00-07:00,2013-04-17 00:00:00-07:00,19,15,10,5.0,2.0,-2.0,71,49,27,1026,1024,1022,16,16,16.0,45,29,52,0.0,0.0,None,319
2013-04-18 00:00:00-07:00,2013-04-18 00:00:00-07:00,23,16,8,8.0,4.0,-1.0,77,50,23,1025,1024,1023,16,16,16.0,39,13,45,0.0,0.0,None,287
2013-04-19 00:00:00-07:00,2013-04-19 00:00:00-07:00,22,16,9,11.0,8.0,6.0,80,64,48,1024,1022,1019,16,16,16.0,45,19,52,0.0,1.0,None,294
2013-04-20 00:00:00-07:00,2013-04-20 00:00:00-07:00,23,17,10,9.0,7.0,6.0,80,59,38,1020,1018,1016,16,16,16.0,45,22,52,0.0,0.0,None,289
2013-04-21 00:00:00-07:00,2013-04-21 00:00:00-07:00,26,18,9,11.0,7.0,4.0,77,53,28,1018,1016,1014,16,16,16.0,34,12,39,0.0,0.0,None,300
2013-04-22 00:00:00-07:00,2013-04-22 00:00:00-07:00,28,19,11,12.0,8.0,5.0,77,51,25,1015,1013,1011,16,16,16.0,35,11,42,0.0,0.0,None,300
2013-04-23 00:00:00-07:00,2013-04-23 00:00:00-07:00,24,17,9,8.0,6.0,-3.0,83,50,17,1014,1013,1012,16,16,16.0,42,16,50,0.0,1.0,None,306
2013-04-24 00:00:00-07:00,2013-04-24 00:00:00-07:00,20,14,8,8.0,7.0,6.0,86,66,45,1014,1012,1011,16,16,14.0,27,12,37,0.0,2.0,None,286
2013-04-25 00:00:00-07:00,2013-04-25 00:00:00-07:00,18,15,12,8.0,8.0,7.0,77,65,52,1021,1018,1015,16,16,16.0,37,17,42,0.0,3.0,None,254
2013-04-26 00:00:00-07:00,2013-04-26 00:00:00-07:00,16,14,11,8.0,7.0,7.0,77,66,55,1024,1023,1021,16,16,16.0,45,17,53,0.0,4.0,None,275
2013-04-27 00:00:00-07:00,2013-04-27 00:00:00-07:00,16,13,9,8.0,8.0,7.0,86,73,60,1024,1022,1019,16,16,14.0,45,19,52,0.0,4.0,Fog,283
2013-04-28 00:00:00-07:00,2013-04-28 00:00:00-07:00,22,15,8,11.0,8.0,6.0,86,63,39,1019,1016,1012,16,16,14.0,37,13,47,0.0,2.0,None,302
2013-04-29 00:00:00-07:00,2013-04-29 00:00:00-07:00,27,19,11,13.0,9.0,7.0,77,56,35,1013,1011,1009,16,16,14.0,50,23,61,0.0,1.0,None,292
2013-04-30 00:00:00-07:00,2013-04-30 00:00:00-07:00,20,15,10,8.0,6.0,-3.0,80,58,35,1011,1010,1009,16,15,11.0,42,24,50,0.0,2.0,None,288
